ā	阿▲啊▲
fāng	方芳坊▲
fáng	房防坊▲妨肪
fǎng	訪紡彷仿
fàng	放
fēi	非菲▲啡緋蜚扉飛
féi	肥
fěi	匪菲▲斐翡誹
fèi	肺費廢沸吠痱
fēn	分▲吩紛芬氛
fén	焚墳
fěn	粉
fèn	奮分▲份忿憤糞
fēng	風楓瘋封豐蜂峰鋒烽
féng	逢縫▲馮▲
fěng	諷
fèng	鳯奉俸縫▲
fó	佛▲
fǒu	否▲
fū	夫膚敷孵麩
fú	扶芙符浮俘服▲伏袱福幅輻蝠佛▲彿拂鳧
fǔ	府俯腐斧釜甫輔脯撫
fù	付附咐赴縛婦負父副富傅賦覆腹復複阜服▲
gā	咖▲伽▲夾▲
gá	軋▲
gà	尬
gāi	該
gǎi	改
gài	蓋▲概溉丐鈣
gān	乾幹杆肝竿甘柑尷
gǎn	趕敢橄感桿稈
gàn	幹贛
gāng	岡崗▲剛鋼▲綱缸扛▲肛
gǎng	崗▲港
gàng	槓鋼▲
gāo	高篙膏▲羔糕
gǎo	稿搞鎬▲
gào	告膏▲
gē	格▲哥歌割鴿擱▲胳戈疙
gé	格▲革閣隔骼葛▲蛤▲頜▲擱▲
gě	葛▲合▲蓋▲
gè	個各
gěi	給▲
gēn	根跟
gēng	庚耕更▲羹
gěng	哽梗埂耿頸▲
gèng	更▲
gōng	工攻功公蚣弓躬供▲恭宮
gǒng	鞏拱汞
gòng	共供▲貢
gōu	溝勾▲鉤枸
gǒu	狗苟
gòu	勾▲夠購構垢
gū	孤咕姑菇估▲沽辜骨▲箍
gǔ	古股鼓穀骨▲蠱賈▲
gù	故估▲固僱顧
guā	瓜呱刮
guǎ	寡
guà	卦掛褂
guāi	乖
guǎi	拐柺
guài	怪
guān	官棺冠▲觀▲關
guǎn	管館
guàn	貫慣罐灌冠▲觀▲
guāng	光
guǎng	廣獷
guàng	逛
guī	歸規龜▲瑰皈矽閨
guǐ	鬼軌詭
guì	貴櫃桂跪劊
gǔn	滾
gùn	棍
guō	鍋渦▲郭過▲
guó	國
guǒ	果菓裹
guò	過▲
hā	哈▲
há	蝦▲蛤▲
hǎ	哈▲
hà	哈▲
hái	孩還▲骸
hǎi	海
hài	害亥駭
hān	酣憨
hán	寒含韓函涵汗▲
hǎn	喊罕
hàn	漢汗▲旱焊捍悍憾撼翰瀚
hāng	夯
háng	行▲杭航吭▲
hàng	巷▲
hāo	蒿
háo	豪嚎蠔壕毫號▲
hǎo	好▲
hào	耗浩好▲號▲鎬▲
hē	呵▲喝▲
hé	禾和▲河何荷▲合▲頜▲盒核▲劾涸
hè	賀和▲荷▲喝▲赫嚇▲褐鶴
hēi	黑嘿
hén	痕
hěn	很狠
hèn	恨
hēng	亨哼▲
héng	橫▲恆衡
hèng	橫▲
hng	哼▲
hōng	哄▲烘轟
hóng	紅虹▲洪鴻宏弘
hǒng	哄▲
hòng	閧
hóu	侯▲喉猴
hǒu	吼
hòu	侯▲候後后逅厚
hū	乎呼忽惚戲▲糊▲
hú	胡湖糊▲葫蝴瑚餬鬍狐弧壺核▲和▲
hǔ	虎琥唬
hù	戶護互滬糊▲
huā	花嘩▲
huá	華▲嘩▲划滑猾劃▲
huà	化話畫劃▲華▲樺
huái	懷淮踝槐徊
huài	壞
huai	劃▲
huān	歡
huán	還▲環桓
huǎn	緩
huàn	奐換喚煥瘓渙幻患宦
huāng	荒慌
huáng	黃磺簧皇惶蝗煌凰徨遑
huǎng	謊恍晃▲幌
huàng	晃▲
huī	灰恢詼揮輝暉徽
huí	回迴茴蛔
huǐ	毀燬悔
huì	會▲薈繪匯彙惠卉彗慧晦誨諱賄穢
hūn	昏婚葷
hún	魂渾混▲餛
hùn	混▲
huō	豁▲嚄▲
huó	和▲活
huǒ	火夥伙
huò	貨禍和▲或惑獲穫霍豁▲嚄▲
jī	几肌飢幾▲饑嘰機譏基箕稽▲雞畸奇▲積激擊唧緝圾羈躋
jí	及級汲笈極急集即疾嫉輯籍吉棘
jǐ	己紀▲幾▲擠濟▲給▲脊戟
jì	記紀▲忌既計繼寄技祭際季悸繫▲劑濟▲薺▲寂績冀覬跡妓鯽
jiā	加伽▲茄▲枷嘉家▲傢佳夾▲
jiá	夾▲頰莢
jiǎ	假▲甲鉀賈▲
jià	假▲價▲架駕嫁稼
jiān	間▲奸艱堅肩兼尖殲監▲煎箋姦緘漸▲
jiǎn	簡剪減碱檢儉撿瞼柬揀繭
jiàn	間▲澗件見建健鍵毽賤踐餞濺漸▲箭劍監▲檻▲艦鑑鑒薦
jiāng	將▲漿僵薑繮疆江姜
jiǎng	講獎槳蔣
jiàng	將▲醬匠降▲強▲虹▲
jiāo	交郊蛟膠教▲嬌驕焦蕉礁澆椒
jiáo	嚼▲
jiǎo	絞狡佼餃矯繳角▲腳▲僥▲攪剿▲
jiào	較教▲叫覺▲酵窖校▲轎醮嚼▲
jiē	皆階街接揭結▲秸節▲
jié	結▲桔▲潔節▲劫傑截捷睫竭
jiě	解▲姐
jiè	借藉介疥芥界戒誡屆解▲
jie	家▲價▲
jīn	今金斤巾筋禁▲襟津
jǐn	緊僅謹饉錦儘
jìn	近進晉浸禁▲噤勁▲盡燼
jīng	京經▲驚菁莖精睛晶鯨兢荊
jǐng	景憬警頸▲井阱
jìng	竟境鏡勁▲經▲徑痙靖靚▲競靜淨敬
jiǒng	迥窘
jiū	究糾赳揪鳩
jiǔ	九久玖灸酒韭
jiù	就舊舅救疚咎臼
jū	居据拘駒鞠狙車▲
jú	局焗跼菊橘桔▲
jǔ	舉矩咀▲沮▲
jù	聚句具俱颶巨距拒炬鉅據劇懼踞鋸沮▲
juān	捐娟鵑圈▲
juǎn	捲
juàn	卷倦圈▲絹
jué	決訣抉絕掘倔▲崛覺▲角▲爵嚼▲噱厥獗腳▲
juè	倔▲
jūn	均鈞軍君菌▲龜▲
jùn	俊峻竣駿郡濬菌▲
kā	咖▲
kǎ	卡▲
kāi	開揩
kǎi	楷慨凱
kài	愾
kān	看▲刊堪勘龕
kǎn	砍坎侃檻▲
kàn	看▲瞰嵌▲
kāng	康慷糠
káng	扛▲
kàng	亢抗炕
kǎo	考烤拷
kào	靠銬
kē	科蝌苛坷▲柯呵▲顆棵瞌磕
ké	咳殼▲
kě	可▲坷▲渴
kè	課客恪刻克剋可▲
kěn	肯啃懇墾
kēng	坑吭▲鏗
kōng	空▲
kǒng	孔恐
kòng	空▲控
kōu	摳
kǒu	口
kòu	扣叩寇蔻
kū	枯哭窟
kǔ	苦
kù	庫褲酷
kuā	誇
kuǎ	垮
kuà	跨挎胯
kuài	快筷塊會▲膾
kuān	寬
kuǎn	款
kuāng	框筐誆
kuáng	狂
kuàng	況礦曠框眶
kuī	虧窺盔
kuí	葵魁
kuǐ	傀
kuì	愧潰饋匱
kūn	昆崑坤
kǔn	捆
kùn	困睏
kuò	闊括擴廓
lā	拉▲垃啦▲喇▲
lá	拉▲剌▲喇▲
lǎ	拉▲喇▲
là	拉▲辣臘蠟剌▲落▲
la	啦▲
lái	來萊徠
lài	賴籟睞癩
lán	藍籃襤蘭瀾欄攔斕婪
lǎn	懶覽纜攬欖
làn	爛濫
láng	狼郎▲廊瑯螂榔
lǎng	朗
làng	浪郎▲
lāo	撈
láo	牢勞癆嘮▲
lǎo	老姥潦▲
lào	烙▲酪落▲絡▲嘮▲澇
lè	樂▲勒▲
le	了▲
lēi	勒▲
léi	雷擂▲鐳累▲纍▲
lěi	累▲壘儡纍▲磊蕾
lèi	類累▲淚肋擂▲
lēng	棱▲
léng	棱▲楞▲
lěng	冷
lèng	愣▲
lī	哩▲
lí	離籬漓璃罹梨犁黎釐厘狸喱
lǐ	里裏理哩▲鯉李禮
lì	利俐莉痢例麗隸厲勵荔吏力歷瀝靂曆立粒栗慄礫蒞
liǎ	倆▲
lián	連蓮漣槤廉簾鐮聯憐
liǎn	臉斂
liàn	練煉鍊鏈戀殮
liáng	良踉▲涼▲量▲糧梁樑粱
liǎng	兩倆▲
liàng	亮量▲諒晾涼▲輛靚▲踉▲
liāo	撩▲
liáo	寮遼僚潦▲療嘹繚撩▲燎▲聊寥
liǎo	了▲瞭▲燎▲
liào	料瞭▲鐐廖
liē	咧▲
liě	咧▲
liè	列冽烈裂獵劣捩
lie	咧▲
līn	拎
lín	林淋▲琳霖鄰鱗麟遴磷嶙臨
lǐn	凜檁
lìn	吝賃躪淋▲
líng	令▲伶蛉零齡鈴玲羚聆翎凌陵棱▲菱靈
lǐng	令▲領嶺
lìng	令▲另
liū	溜▲
liú	流琉硫留榴餾▲瘤劉瀏
liǔ	柳
liù	六▲陸▲溜▲餾▲碌▲
lōng	隆▲
lóng	龍嚨櫳聾朧籠▲隆▲窿
lǒng	籠▲攏隴壟
lòng	弄▲
lōu	摟▲
lóu	婁樓
lǒu	簍摟▲
lòu	漏陋露▲
lū	嚕
lú	盧爐蘆▲廬臚鱸顱
lǔ	魯虜擄鹵蘆▲
lù	路露▲賂陸▲鹿錄祿碌▲綠▲戮六▲
lǘ	驢
lǚ	旅屢履呂鋁侶褸縷
lǜ	慮濾律綠▲氯率▲
luán	孿攣巒
luǎn	卵
luàn	亂
lüè	略掠
lūn	掄▲
lún	侖輪淪倫綸崙論▲掄▲
lùn	論▲
luō	囉▲落▲
luó	羅蘿邏鑼籮囉▲螺騾
luǒ	裸
luò	洛落▲絡▲駱烙▲
luo	囉▲
mā	媽抹▲摩▲
má	麻嗎▲蟆
mǎ	馬碼螞瑪嗎▲
mà	罵
ma	嗎▲嘛
mái	埋▲
mǎi	買
mài	賣邁麥脈▲
mán	蠻瞞饅鰻埋▲
mǎn	滿
màn	曼慢漫幔蔓▲
máng	忙芒茫氓▲盲
mǎng	莽
māo	貓
máo	毛矛茅髦錨
mǎo	鉚
mào	冒帽瑁貿貌茂袤
me	麼
méi	玫枚霉梅莓沒▲煤媒眉嵋楣
měi	美鎂每
mèi	妹昧寐魅媚袂
mēn	悶▲
mén	門
mèn	悶▲懣
men	們
mēng	蒙▲
méng	蒙▲朦檬盟萌氓▲
měng	猛蜢錳蒙▲
mèng	夢孟
mī	瞇▲咪
mí	迷謎瞇▲彌瀰靡▲糜
mǐ	米弭靡▲
mì	泌▲秘▲密蜜覓冪
mián	棉綿眠
miǎn	免娩冕勉緬靦
miàn	面麵
miáo	苗描瞄
miǎo	秒渺藐
miào	廟妙繆▲
miē	咩
miè	滅蔑
mín	民泯
mǐn	敏皿閩憫
míng	明名銘鳴冥螟
mǐng	酩
mìng	命
miù	繆▲謬
mō	摸
mó	摩▲魔磨▲蘑模▲膜饃摹
mǒ	抹▲
mò	末沫抹▲茉沒▲莫漠寞墨默陌磨▲脈▲驀
móu	謀繆▲牟
mǒu	某
mú	模▲
mǔ	母姆拇畝牡
mù	墓慕暮募幕木沐目牧穆睦
nā	那▲
ná	拿
nǎ	哪▲那▲
nà	那▲娜▲納鈉吶捺
na	哪▲
nǎi	乃奶
nài	耐奈
nán	難▲男南喃
nǎn	腩
nàn	難▲
nāng	囊▲
náng	囊▲
nǎng	曩
náo	撓
nǎo	腦惱
nào	鬧
né	哪▲
nè	那▲
ne	呢
něi	哪▲餒
nèi	內那▲
nèn	嫩
néng	能
ńg	嗯▲
ňg	嗯▲
ng	嗯▲
nī	妮
ní	尼泥▲呢霓倪
nǐ	你擬
nì	泥▲昵膩逆溺匿
niān	拈蔫
nián	年黏粘▲
niǎn	捻攆碾
niàn	念唸
niáng	娘
niàng	釀
niǎo	鳥
niào	尿▲
niē	捏
niè	聶鑷孽
nín	您
níng	寧▲凝檸擰▲獰
nǐng	擰▲
nìng	寧▲濘擰▲
niú	牛
niǔ	扭紐鈕
niù	拗▲
nóng	農濃膿
nòng	弄▲
nú	奴
nǔ	努
nù	怒
nǚ	女
nuǎn	暖
nüè	虐瘧▲
nuó	挪娜▲
nuò	懦糯諾
ō	噢
ó	哦▲
ǒ	嚄▲
ò	哦▲
ōu	區▲歐毆鷗
ǒu	偶嘔藕
òu	慪
pā	啪趴
pá	爬扒▲琶杷耙▲
pà	怕帕
pāi	拍
pái	排▲徘牌
pǎi	排▲迫▲
pài	派湃
pān	番▲潘攀
pán	盤胖▲
pàn	判叛盼畔拚
pāng	乓膀▲
páng	旁磅▲螃膀▲徬龐
pàng	胖▲
pāo	拋泡▲
páo	袍咆炮▲刨▲
pǎo	跑
pào	炮▲泡▲
pēi	胚
péi	陪培賠
pèi	配佩沛
pēn	噴▲
pén	盆
pèn	噴▲
pēng	烹砰抨怦
péng	朋棚硼鵬彭膨澎蓬篷
pěng	捧
pèng	碰
pī	批披劈▲闢▲坯霹
pí	皮疲脾啤琵枇毗
