ā	阿▲啊▲
xù	敘序緒絮續畜▲蓄恤婿旭煦酗
xuān	宣喧暄軒
xuán	旋▲漩玄懸
xuǎn	選癬
xuàn	眩炫渲絢旋▲券▲
xuē	薛削▲靴
xué	學穴
xuě	雪鱈
xuè	血▲謔
xūn	薰勳
xún	尋循旬詢峋巡
xùn	訓訊迅汛徇殉遜馴蕈
yā	呀▲鴉丫壓▲鴨押啞▲
yá	牙芽蚜崖涯衙
yǎ	啞▲雅
yà	亞軋▲訝壓▲
ya	呀▲
yān	煙咽▲胭淹醃嫣燕▲殷▲
yán	延筵蜒研妍簷嚴岩言炎顏鹽沿鉛▲閻
yǎn	奄掩眼演衍儼魘
yàn	彥諺驗艷宴焰厭雁燕▲嚥硯唁堰
yāng	央秧殃鴦
yáng	羊洋徉陽揚楊瘍
yǎng	養癢氧仰
yàng	樣漾恙
yāo	要▲腰夭妖邀約▲吆
yáo	搖遙謠窰姚堯僥▲肴
yǎo	咬杳舀
yào	要▲耀藥瘧▲鑰▲
yē	耶▲椰掖▲
yé	耶▲揶爺邪▲
yě	也野冶
yè	夜液腋掖▲頁業葉咽▲曳謁
yī	一衣依伊醫漪椅▲揖壹
yí	夷姨胰痍移宜怡遺疑儀頤彝
yǐ	以已椅▲倚蟻乙矣尾▲
yì	易蜴意億憶義議抑異益溢毅藝囈翼誼逸亦弈奕羿翌譯繹役疫肄裔詣屹艾▲食▲邑
yīn	因茵姻音陰殷▲
yín	銀齦吟淫
yǐn	引蚓飲▲隱癮殷▲
yìn	印蔭飲▲
yīng	英應▲膺鷹鶯嬰櫻鸚纓罌
yíng	營螢瑩熒縈迎蠅盈贏
yǐng	影穎
yìng	應▲硬映
yō	唷喲▲
yo	喲▲
yōng	庸傭雍擁臃
yǒng	永泳詠勇湧踴俑恿蛹
yòng	用傭
yōu	憂優悠幽
yóu	由油柚鈾郵尤魷遊游猶
yǒu	有▲友莠黝
yòu	又右佑幼誘有▲
yū	瘀淤迂
yú	余餘于於娛虞魚漁愉逾榆揄瑜覦輿愚腴隅
yǔ	雨語▲羽予與▲嶼宇禹
yù	欲慾浴裕喻愈諭癒御禦寓遇譽籲預玉育獄與▲域毓鬱芋馭郁豫尉▲蔚▲粥▲語▲
yuān	冤淵鴛
yuán	元園原源員▲圓袁猿轅援媛▲緣垣
yuǎn	遠
yuàn	院願苑怨媛▲
yuē	約▲曰
yuè	月越樂▲躍閱悅粵岳嶽鑰▲說▲
yūn	暈▲
yún	云芸紜耘雲勻員▲
yǔn	允
yùn	運暈▲孕韻熨蘊醞員▲
zā	紮▲
zá	雜砸
zāi	災栽
zǎi	載▲宰仔▲
zài	在再載▲
zán	咱
zǎn	攢▲
zàn	贊讚暫
zāng	髒贓
zàng	葬藏▲臟
zāo	糟遭
záo	鑿
zǎo	早澡藻蚤棗
zào	躁燥噪造皂灶
zé	則擇▲澤責嘖
zè	仄
zéi	賊
zěn	怎
zēng	曾▲增憎
zèng	贈綜▲
zhā	查▲渣喳▲楂扎紮▲
zhá	炸▲閘扎軋▲紮▲鍘
zhǎ	眨
zhà	乍詐炸▲榨柵▲咤
zhāi	摘齋
zhái	宅擇▲
zhǎi	窄
zhài	債寨
zhān	占沾粘▲詹瞻氈
zhǎn	展斬嶄輾盞
zhàn	佔站戰棧湛綻顫▲蘸
zhāng	張章彰漳樟蟑
zhǎng	長▲掌漲▲
zhàng	帳脹賬漲▲丈仗杖障
zhāo	招朝▲昭着▲
zháo	着▲
zhǎo	找爪▲沼
zhào	召照趙罩兆肇
zhē	遮折▲
zhé	折▲哲摺輒轍
zhě	者
zhè	這▲蔗浙
zhe	着▲
zhèi	這▲
zhēn	真貞偵禎珍針砧斟榛甄
zhěn	枕診疹縝
zhèn	震鎮陣振
zhēng	爭睜箏掙▲正▲征怔徵癥蒸
zhěng	整拯
zhèng	正▲政證症鄭諍掙▲
zhī	之芝支枝肢吱▲脂知蜘隻織汁祗
zhí	直值植殖▲職執姪侄
zhǐ	止址趾祉祇▲咫旨指紙
zhì	志誌痣智至致緻制製置治稚滯秩質擲炙幟識▲峙窒摯
zhōng	中▲忠盅衷鐘鍾終
zhǒng	種▲腫踵
zhòng	重▲種▲中▲仲眾
zhōu	周週州洲舟粥▲謅
zhóu	軸▲
zhǒu	帚肘
zhòu	皺縐晝驟紂咒宙軸▲
zhū	朱珠蛛株誅豬諸
zhú	竹燭逐朮
zhǔ	主拄煮屬▲囑矚
zhù	住注駐蛀柱註著▲貯佇助祝築鑄
zhuā	抓
zhuǎ	爪▲
zhuāi	拽▲
zhuǎi	轉▲
zhuài	拽▲
zhuān	專磚
zhuǎn	轉▲
zhuàn	轉▲傳▲賺撰饌
zhuāng	妝莊裝樁
zhuàng	壯狀撞幢▲
zhuī	追錐椎
zhuì	綴墜贅
zhūn	諄
zhǔn	准準
zhuō	桌捉拙
zhuó	著▲濁鐲啄琢▲濯擢卓茁灼酌
zī	資咨姿諮茲滋吱▲
zǐ	子仔▲籽姊紫滓
zì	自字漬
zōng	宗綜▲棕蹤
zǒng	總
zòng	縱粽
zōu	鄒
zǒu	走
zòu	奏揍
zū	租
zú	足族卒▲
zǔ	組阻祖詛
zuān	鑽▲
zuǎn	纂
zuàn	鑽▲
zuǐ	嘴咀▲
zuì	最醉罪
zūn	尊遵樽
zuō	作▲
zuó	昨琢▲
zuǒ	左佐撮▲
zuò	坐座做作▲
