哀	āi
備註	bèizhù
輩出	bèichū
奔波	bēnbō
奔放	bēnfàng
奔走	bēnzŏu
本部	bĕnbù
本分	bĕnfèn
*本金	bĕnjīn
*本科	bĕnkē
本利	bĕnlì
本票	bĕnpiào
*本土	bĕntŭ
本息	bĕnxī
本意	bĕnyì
本子	bĕn·zi
笨蛋	bèndàn
崩	bēng
崩塌	bēngtā
迸	bèng
迸發	bèngfā
泵	bèng
逼和	bīhé
逼真	bīzhēn
荸薺	bí·qí
鼻樑	bíliáng
鼻塞	bísè
鼻煙壺	bíyānhú
比比皆是	bǐbǐjiēshì
比對	bǐduì
比方	bǐ·fang
*比率	bǐlǜ
比美	bǐmĕi
比擬	bǐnǐ
比試	bǐshì
比照	bǐzhào
筆觸	bǐchù
筆調	bǐdiào
筆法	bǐfǎ
筆桿	bǐgǎn
筆畫	bǐhuà
筆記本	bǐjìbĕn
筆帽兒	bǐmàor
筆名	bǐmíng
筆墨	bǐmò
*筆下	bǐxià
鄙	bǐ
必備	bìbèi
必需品	bìxūpǐn
庇護	bìhù
庇佑	bìyòu
畢	bì
畢生	bìshēng
*畢業生	bìyèshēng
閉會	bìhuì
閉口	bìkŏu
*閉路電視	bìlùdiànshì
閉幕	bìmù
閉塞	bìsè
辟	bì
*壁虎	bìhŭ
避忌	bìjì
避難	bìnàn
避暑	bìshŭ
避重就輕	bìzhòngjiùqīng
裨益	bìyì
碧	bì
碧藍	bìlán
幣	bì
幣值	bìzhí
幣制	bìzhì
弊	bì
蔽	bì
斃	bì
斃命	bìmìng
編創	biānchuàng
編訂	biāndìng
*編號	biānhào
*編劇	biānjù
編碼	biānmǎ
編目	biānmù
*編排	biānpái
*編配	biānpèi
編曲	biānqŭ
編審	biānshĕn
*編舞	biānwŭ
編選	biānxuǎn
編印	biānyìn
編織	biānzhī
編著	biānzhù
編撰	biānzhuàn
編纂	biānzuǎn
蝙蝠	biānfú
邊陲	biānchuí
邊際	biānjì
鞭炮	biānpào
扁平	biǎnpíng
匾	biǎn
匾額	biǎn'é
貶	biǎn
貶值	biǎnzhí
便當	biàn·dang
便箋	biànjiān
便秘	biànmì
便服	biànfú
*便捷	biànjié
便裝	biànzhuāng
*遍佈	biànbù
遍地	biàndì
*遍及	biànjí
遍體鱗傷	biàntǐlínshāng
辨識	biànshí
辮	biàn
辮子	biàn·zi
辯	biàn
辯駁	biànbó
辯護人	biànhùrén
*辯論	biànlùn
辯題	biàntí
變本加厲	biànbĕnjiālì
變電站	biàndiànzhàn
變幻	biànhuàn
*變臉	biànliǎn
變賣	biànmài
變色	biànsè
變數	biànshù
變相	biànxiàng
變心	biànxīn
變奏	biànzòu
變量	biànliàng
標榜	biāobǎng
標點	biāodiǎn
*標記	biāojì
標價	biāojià
標明	biāomíng
標籤	biāoqiān
標示	biāoshì
標書	biāoshū
標貼	biāotiē
標誌	biāozhì
飆升	biāoshēng
表白	biǎobái
表弟	biǎodì
*表格	biǎogé
*表姐	biǎojiĕ
表決	biǎojué
表露	biǎolù
表妹	biǎomèi
表態	biǎotài
表兄	biǎoxiōng
別出心裁	biéchūxīncái
別號	biéhào
別具一格	biéjùyīgé
別開生面	biékāishēngmiàn
別離	biélí
別論	biélùn
別名	biémíng
*別墅	biéshù
別有用心	biéyŏuyòngxīn
別針	biézhēn
別致	bié·zhì
別字	biézì
彬彬有禮	bīnbīnyŏulǐ
賓客	bīnkè
賓至如歸	bīnzhìrúguī
濱	bīn
濱海	bīnhǎi
*繽紛	bīnfēn
瀕臨	bīnlín
瀕危	bīnwēi
殯殮	bìnliàn
殯儀館	bìnyíguǎn
冰雹	bīngbáo
冰凍	bīngdòng
冰棍兒	bīnggùnr
冰塊	bīngkuài
冰冷	bīnglĕng
冰涼	bīngliáng
冰山	bīngshān
冰糖	bīngtáng
冰箱	bīngxiāng
冰雪	bīngxuĕ
冰鎮	bīngzhèn
兵工廠	bīnggōngchǎng
兵馬俑	bīngmǎyŏng
兵器	bīngqì
兵團	bīngtuán
秉承	bǐngchéng
秉持	bǐngchí
屏息	bǐngxī
稟	bǐng
稟報	bǐngbào
稟賦	bǐngfù
餅乾	bǐnggān
並進	bìngjìn
*並列	bìngliè
並排	bìngpái
並行	bìngxíng
*並重	bìngzhòng
併發	bìngfā
*併發症	bìngfāzhèng
併入	bìngrù
摒棄	bìngqì
病患	bìnghuàn
病假	bìngjià
*病例	bìnglì
病歷	bìnglì
病逝	bìngshì
病態	bìngtài
病因	bìngyīn
病原體	bìngyuántǐ
病症	bìngzhèng
*波幅	bōfú
波及	bōjí
波濤	bōtāo
波折	bōzhé
菠蘿	bōluó
剝落	bōluò
砵	bō
般若	bōrĕ
撥款	bōkuǎn
撥冗	bōrŏng
播	bō
*播放	bōfàng
*播映	bōyìng
伯伯	bó·bo
伯父	bófù
泊	bó
*泊車	bóchē
箔	bó
帛	bó
脖	bó
博	bó
博愛	bó'ài
博大	bódà
博覽會	bólǎnhuì
博取	bóqŭ
博物館	bówùguǎn
博弈	bóyì
搏	bó
膊	bó
薄片	bópiàn
