哀	āi
湊錢	còuqián
湊熱鬧	còurè·nào
粗鄙	cūbǐ
粗獷	cūguǎng
粗豪	cūháo
粗話	cūhuà
粗略	cūlüè
粗俗	cūsú
粗言穢語	cūyánhuìyŭ
粗枝大葉	cūzhīdàyè
粗壯	cūzhuàng
*促請	cùqǐng
促銷	cùxiāo
猝然	cùrán
猝死	cùsǐ
醋	cù
簇新	cùxīn
簇擁	cùyōng
汆	cuān
篡位	cuànwèi
催促	cuīcù
催化	cuīhuà
催化劑	cuīhuàjì
催淚	cuīlèi
催眠	cuīmián
摧	cuī
*璀璨	cuǐcàn
脆	cuì
脆嫩	cuìnèn
翠	cuì
*村落	cūnluò
*村民	cūnmín
村長	cūnzhǎng
存單	cúndān
*存檔	cúndàng
*存放	cúnfàng
*存戶	cúnhù
存貨	cúnhuò
存量	cúnliàng
存取	cúnqŭ
存心	cúnxīn
存摺	cúnzhé
寸草不生	cùncǎobùshēng
吋	cùn
搓	cuō
搓揉	cuōróu
*磋商	cuōshāng
挫	cuò
挫敗	cuòbài
措手不及	cuòshŏubùjí
錯怪	cuòguài
*錯過	cuòguò
錯覺	cuòjué
錯漏	cuòlòu
錯亂	cuòluàn
錯失	cuòshī
錯綜複雜	cuòzōngfùzá
搭夥	dāhuŏ
搭建	dājiàn
*搭配	dāpèi
答允	dāyŭn
*達標	dábiāo
*答辯	dábiàn
答題	dátí
答謝	dáxiè
打岔	dǎchà
打從	dǎcóng
打道	dǎdào
打點	dǎ·dian
打賭	dǎdŭ
打斷	dǎduàn
打哆嗦	dǎduō·suo
打發	dǎ·fa
打工	dǎgōng
打呼嚕	dǎhū·lu
打火機	dǎhuŏjī
打攪	dǎjiǎo
打劫	dǎjié
打撈	dǎlāo
打理	dǎlǐ
打獵	dǎliè
打氣	dǎqì
打趣	dǎqù
*打造	dǎzào
打折	dǎzhé
打針	dǎzhēn
打樁	dǎzhuāng
大巴	dàbā
大壩	dàbà
大班	dàbān
大飽口福	dàbǎokŏufú
大不了	dà·bùliǎo
大吃一驚	dàchīyījīng
大刀闊斧	dàdāokuòfŭ
*大道	dàdào
大動脈	dàdòngmài
大發雷霆	dàfāléitíng
大放異彩	dàfàngyìcǎi
*大佛	dàfó
大功告成	dàgōnggàochéng
大公無私	dàgōngwúsī
大汗淋漓	dàhànlínlí
大會堂	dàhuìtáng
大聲	dàshēng
大亨	dàhēng
大街小巷	dàjiēxiǎoxiàng
大驚小怪	dàjīngxiǎoguài
大開眼界	dàkāiyǎnjiè
*大快朵頤	dàkuàiduŏyí
大力	dàlì
*大樓	dàlóu
大略	dàlüè
大麻	dàmá
大難不死	dànànbùsǐ
大排檔	dàpáidàng
大牌	dàpái
大氣層	dàqìcéng
*大賽	dàsài
大掃除	dàsǎochú
*大廈	dàshà
大嬸	dàshĕn
*大使	dàshǐ
*大市	dàshì
大勢	dàshì
大蒜	dàsuàn
*大堂	dàtáng
大提琴	dàtíqín
大同小異	dàtóngxiǎoyì
大腿	dàtuǐ
大顯身手	dàxiǎnshēnshŏu
大相徑庭	dàxiāngjìngtíng
大興土木	dàxīngtŭmù
大行其道	dàxíngqídào
大專	dàzhuān
呆滯	dāizhì
逮	dǎi
代表處	dàibiǎochù
代表作	dàibiǎozuò
代課	dàikè
代勞	dàiláo
代替品	dàitìpǐn
代言人	dàiyánrén
逮	dài
貸	dài
袋鼠	dàishŭ
*帶子	dài·zi
丹	dān
單薄	dānbó
*單程	dānchéng
單軌	dānguǐ
*單據	dānjù
單親	dānqīn
單身	dānshēn
單身漢	dānshēnhàn
單行線	dānxíngxiàn
*單元	dānyuán
*擔保	dānbǎo
*擔當	dāndāng
*擔憂	dānyōu
*膽固醇	dǎngùchún
膽識	dǎnshí
膽子	dǎn·zi
旦	dàn
淡薄	dànbó
淡化	dànhuà
淡然	dànrán
淡色	dànsè
淡市	dànshì
淡水魚	dànshuǐyú
淡忘	dànwàng
淡雅	dànyǎ
*蛋黃	dànhuáng
誕	dàn
彈殼	dànké
彈頭	dàntóu
彈丸之地	dànwánzhīdì
彈藥	dànyào
當日	dāngrì
當務之急	dāngwùzhījí
當下	dāngxià
當之無愧	dāngzhīwúkuì
黨魁	dǎngkuí
當日	dàngrì
檔	dàng
檔位	dàngwèi
蕩	dàng
蕩氣回腸	dàngqìhuícháng
蕩然無存	dàngránwúcún
蕩漾	dàngyàng
刀鋒	dāofēng
刀架	dāojià
刀具	dāojù
倒閉	dǎobì
倒戈	dǎogē
倒塌	dǎotā
倒胃口	dǎowèi·kou
搗	dǎo
搗蛋	dǎodàn
搗亂	dǎoluàn
搗碎	dǎosuì
導讀	dǎodú
*導師	dǎoshī
*導向	dǎoxiàng
導言	dǎoyán
導引	dǎoyǐn
*導遊	dǎoyóu
禱告	dǎogào
禱文	dǎowén
蹈	dǎo
*到場	dàochǎng
*到訪	dàofǎng
到位	dàowèi
倒背如流	dàobèirúliú
倒掛	dàoguà
倒流	dàoliú
倒數	dàoshŭ
倒數	dàoshù
倒影	dàoyǐng
道觀	dàoguàn
道家	Dàojiā
道具	dàojù
道路網	dàolùwǎng
道袍	dàopáo
道士	dào·shi
道謝	dàoxiè
道義	dàoyì
盜	dào
*盜版	dàobǎn
盜用	dàoyòng
盜賊	dàozéi
稻米	dàomǐ
得不償失	débùchángshī
得分	défēn
得失	déshī
得手	déshŏu
得體	détǐ
得天獨厚	détiāndúhòu
*得悉	déxī
得心應手	déxīnyìngshŏu
*得宜	déyí
*得益	déyì
得意忘形	déyìwàngxíng
*得主	dézhŭ
德行	déxíng
登場	dēngcháng
登場	dēngchǎng
登車	dēngchē
登高	dēnggāo
登記	dēngjì
登記冊	dēngjìcè
*登記處	dēngjìchù
登錄	dēnglù
登山	dēngshān
燈籠	dēng·long
燈飾	dēngshì
*燈塔	dēngtǎ
燈箱	dēngxiāng
燈影	dēngyǐng
等額	dĕng'é
等號	dĕnghào
等價	dĕngjià
等離子	dĕnglízǐ
*等同	dĕngtóng
等閒	dĕngxián
等值	dĕngzhí
凳	dèng
低潮	dīcháo
低沉	dīchén
低調	dīdiào
低估	dīgū
*低廉	dīlián
低落	dīluò
低迷	dīmí
低窪	dīwā
低音	dīyīn
提防	dī·fang
嘀咕	dí·gu
滴水	dīshuǐ
迪士尼	Díshìní
笛	dí
*的士	díshì
敵軍	díjūn
敵意	díyì
底部	dǐbù
底價	dǐjià
底盤	dǐpán
底片	dǐpiàn
底線	dǐxiàn
底薪	dǐxīn
底蘊	dǐyùn
抵觸	dǐchù
*抵達	dǐdá
抵擋	dǐdǎng
抵賴	dǐlài
*抵銷	dǐxiāo
*抵押	dǐyā
抵禦	dǐyù
詆毀	dǐhuǐ
*地標	dìbiāo
*地產	dìchǎn
*地道	dìdào
*地道	dì·dao
地動山搖	dìdòngshānyáo
*地段	dìduàn
地基	dìjī
*地價	dìjià
地名	dìmíng
*地盤	dìpán
*地皮	dìpí
地平線	dìpíngxiàn
地契	dìqì
地勤	dìqín
地毯	dìtǎn
*地鐵	dìtiĕ
*地鐵站	dìtiĕzhàn
地下室	dìxiàshì
*地獄	dìyù
地氈	dìzhān
*地政	dìzhèng
地支	dìzhī
地址	dìzhǐ
弟婦	dìfù
*第三者	dìsānzhĕ
締	dì
締約	dìyuē
*締造	dìzào
*遞交	dìjiāo
顛	diān
顛沛流離	diānpèiliúlí
巔	diān
巔峰	diānfēng
典當	diǎndàng
典範	diǎnfàn
典故	diǎngù
典籍	diǎnjí
*典禮	diǎnlǐ
典雅	diǎnyǎ
點滴	diǎndī
點擊	diǎnjī
點球	diǎnqiú
點數	diǎnshù
點題	diǎntí
點心	diǎn·xin
*點綴	diǎnzhuì
店面	diànmiàn
*店鋪	diànpù
店主	diànzhŭ
奠	diàn
殿	diàn
殿堂	diàntáng
電波	diànbō
電廠	diànchǎng
電車	diànchē
電磁爐	diàncílú
電費	diànfèi
電話線	diànhuàxiàn
電匯	diànhuì
*電纜	diànlǎn
電鈴	diànlíng
*電腦化	diànnǎohuà
電氣	diànqì
電氣化	diànqìhuà
電梯	diàntī
電筒	diàntŏng
電網	diànwǎng
*電信	diànxìn
*電訊	diànxùn
*電影節	diànyǐngjié
*電影院	diànyǐngyuàn
電子琴	diànzǐqín
靛	diàn
凋零	diāolíng
凋謝	diāoxiè
碉堡	diāobǎo
雕飾	diāoshì
雕塑家	diāosùjiā
*雕像	diāoxiàng
雕琢	diāozhuó
吊車	diàochē
吊燈	diàodēng
吊橋	diàoqiáo
吊銷	diàoxiāo
掉以輕心	diàoyǐqīngxīn
釣	diào
*釣魚	diàoyú
調派	diàopài
調任	diàorèn
調頭	diàotóu
調研	diàoyán
調子	diào·zi
跌宕	diēdàng
跌倒	diēdǎo
*跌幅	diēfú
跌落	diēluò
跌勢	diēshì
蝶	dié
*碟	dié
疊	dié
*丁屋	dīngwū
叮	dīng
叮噹	dīngdāng
頂峰	dǐngfēng
頂呱呱	dǐngguāguā
*頂級	dǐngjí
頂樓	dǐnglóu
鼎	dǐng
鼎鼎大名	dǐngdǐngdàmíng
鼎力	dǐnglì
鼎盛	dǐngshèng
定奪	dìngduó
*定價	dìngjià
*定居	dìngjū
定論	dìnglùn
定神	dìngshén
*定時	dìngshí
*定位	dìngwèi
*定罪	dìngzuì
訂單	dìngdān
*訂購	dìnggòu
訂戶	dìnghù
訂價	dìngjià
*訂金	dìngjīn
*訂立	dìnglì
*訂造	dìngzào
丟臉	diūliǎn
丟人	diūrén
冬瓜	dōngguā
冬至	dōngzhì
東風	dōngfēng
東拉西扯	dōnglāxīchĕ
董	dŏng
*董事	dŏngshì
*董事會	dŏngshìhuì
*董事局	dŏngshìjú
*董事長	dŏngshìzhǎng
洞察	dòngchá
洞窟	dòngkū
洞悉	dòngxī
洞穴	dòngxué
胴體	dòngtǐ
動產	dòngchǎn
*動蕩	dòngdàng
*動感	dònggǎn
*動工	dònggōng
動畫	dònghuà
動畫片	dònghuàpiàn
動氣	dòngqì
動容	dòngróng
動彈	dòng·tan
動聽	dòngtīng
動向	dòngxiàng
*動議	dòngyì
*動用	dòngyòng
動輒	dòngzhé
動作片	dòngzuòpiàn
棟	dòng
棟樑	dòngliáng
兜風	dōufēng
兜售	dōushòu
陡	dŏu
陡峭	dŏuqiào
豆瓣	dòubàn
豆豉	dòuchǐ
豆粉	dòufĕn
豆腐腦兒	dòu·funǎor
豆腐乳	dòu·furŭ
*豆漿	dòujiāng
豆蔻	dòukòu
*豆類	dòulèi
豆沙	dòushā
豆芽兒	dòuyár
*逗留	dòuliú
痘	dòu
鬥法	dòufǎ
*鬥牛	dòuniú
都市化	dūshìhuà
督	dū
督察	dūchá
*督導	dūdǎo
*毒品	dúpǐn
毒物	dúwù
*毒藥	dúyào
獨白	dúbái
獨步	dúbù
獨創	dúchuàng
獨當一面	dúdāngyīmiàn
獨到	dúdào
獨角獸	dújiǎoshòu
獨腳戲	dújiǎoxì
獨居	dújū
獨力	dúlì
獨門	dúmén
獨木舟	dúmùzhōu
獨樹一幟	dúshùyīzhì
獨一無二	dúyīwú'èr
*獨有	dúyŏu
*獨資	dúzī
*獨奏	dúzòu
讀法	dúfǎ
讀本	dúbĕn
讀後感	dúhòugǎn
讀書人	dúshūrén
*讀音	dúyīn
堵車	dŭchē
堵截	dŭjié
睹	dŭ
賭	dŭ
賭場	dŭchǎng
賭徒	dŭtú
賭注	dŭzhù
篤定	dŭdìng
篤信	dŭxìn
妒忌	dùjì
杜鵑	dùjuān
杜撰	dùzhuàn
肚	dù
*度假	dùjià
度假村	dùjiàcūn
度量	dùliàng
度量衡	dùliànghéng
渡過	dùguò
*渡輪	dùlún
端倪	duānní
*端午節	Duānwŭjié
端詳	duānxiáng
端詳	duān·xiang
端莊	duānzhuāng
短跑	duǎnpǎo
短篇	duǎnpiān
*短片	duǎnpiàn
短缺	duǎnquē
短視	duǎnshì
短途	duǎntú
短線	duǎnxiàn
短小	duǎnxiǎo
短信	duǎnxìn
短訊	duǎnxùn
段落	duànluò
鍛	duàn
斷層	duàncéng
斷裂	duànliè
斷然	duànrán
斷章取義	duànzhāngqŭyì
堆砌	duīqì
兌	duì
*兌換	duìhuàn
兌換券	duìhuànquàn
兌獎	duìjiǎng
兌取	duìqŭ
兌現	duìxiàn
隊友	duìyŏu
對白	duìbái
對調	duìdiào
對講機	duìjiǎngjī
對壘	duìlĕi
對偶	duì'ŏu
對談	duìtán
*對外	duìwài
對折	duìzhé
對症下藥	duìzhèngxiàyào
對峙	duìzhì
對質	duìzhì
敦促	dūncù
敦厚	dūnhòu
敦聘	dūnpìn
敦請	dūnqǐng
躉船	dŭnchuán
囤	dùn
鈍	dùn
盾	dùn
盾牌	dùnpái
燉	dùn
多才多藝	duōcáiduōyì
多愁善感	duōchóushàngǎn
多此一舉	duōcǐyījŭ
*多媒體	duōméitǐ
*多謝	duōxiè
*多樣	duōyàng
*多樣化	duōyànghuà
*多元	duōyuán
*多元化	duōyuánhuà
*多姿多采	duōzīduōcǎi
多嘴	duōzuǐ
奪標	duóbiāo
*奪得	duódé
奪冠	duóguàn
奪獎	duójiǎng
奪門	duómén
奪命	duómìng
*奪目	duómù
踱	duó
踱步	duóbù
舵	duò
惰	duò
惰性	duòxìng
欸	ê
*鵝肝	égān
額度	édù
額頭	étóu
*額外	éwài
噁心	ěxīn
扼	è
扼殺	èshā
扼要	èyào
愕然	èrán
遏抑	èyì
遏止	èzhǐ
遏制	èzhì
惡果	èguŏ
惡魔	èmó
惡習	èxí
惡性	èxìng
惡意	èyì
噩耗	èhào
噩夢	èmèng
*鱷魚	èyú
恩賜	ēncì
恩德	ēndé
恩怨	ēnyuàn
*而已	éryǐ
兒歌	érgē
兒化	érhuà
兒科	érkē
兒戲	érxì
耳環	ĕrhuán
耳機	ĕrjī
耳膜	ĕrmó
耳目	ĕrmù
耳目一新	ĕrmùyīxīn
耳熟能詳	ĕrshúnéngxiáng
餌	ĕr
二流子	èrliú·zi
二胡	èrhú
*二手	èrshŏu
發佈會	fābùhuì
發呆	fādāi
發單	fādān
發電廠	fādiànchǎng
發電機	fādiànjī
*發放	fāfàng
發憤	fāfèn
發憤圖強	fāfèntúqiáng
發奮	fāfèn
發還	fāhuán
*發酵	fājiào
發狂	fākuáng
發牢騷	fāláo·sāo
發愣	fālèng
發亮	fāliàng
發難	fānàn
發炮	fāpào
發球	fāqiú
發人深省	fārénshēnxǐng
發燒	fāshāo
發誓	fāshì
*發售	fāshòu
發送	fāsòng
發威	fāwēi
發問	fāwèn
發祥地	fāxiángdì
發笑	fāxiào
發泄	fāxiè
發信	fāxìn
*發行人	fāxíngrén
發言權	fāyánquán
*發言人	fāyánrén
發揚光大	fāyángguāngdà
發源	fāyuán
發源地	fāyuándì
*發展商	fāzhǎnshāng
乏	fá
乏力	fálì
乏味	fáwèi
伐	fá
筏	fá
閥	fá
*法案	fǎ'àn
法典	fǎdiǎn
*法規	fǎguī
法紀	fǎjì
法理	fǎlǐ
法力	fǎlì
法師	fǎshī
法事	fǎshì
*法治	fǎzhì
髮卡	fàqiǎ
髮式	fàshì
髮型	fàxíng
髮型師	fàxíngshī
帆	fān
帆布	fānbù
*帆船	fānchuán
蕃茄	fānqié
翻版	fānbǎn
翻滾	fāngŭn
翻天覆地	fāntiānfùdì
*翻新	fānxīn
翻修	fānxiū
翻閱	fānyuè
凡夫俗子	fánfūsúzǐ
凡間	fánjiān
凡事	fánshì
煩	fán
煩亂	fánluàn
煩悶	fánmèn
煩瑣	fánsuŏ
繁複	fánfù
*繁華	fánhuá
繁茂	fánmào
繁盛	fánshèng
繁瑣	fánsuŏ
繁星	fánxīng
繁衍	fányǎn
反串	fǎnchuàn
反方	fǎnfāng
反光	fǎnguāng
反撲	fǎnpū
*反彈	fǎntán
反胃	fǎnwèi
反省	fǎnxǐng
反轉	fǎnzhuǎn
返潮	fǎncháo
返璞歸真	fǎnpúguīzhēn
犯案	fàn'àn
犯不著	fàn·buzháo
犯規	fànguī
犯賤	fànjiàn
販	fàn
販毒	fàndú
販運	fànyùn
飯菜	fàncài
飯廳	fàntīng
飯桌	fànzhuō
範本	fànbĕn
範例	fànlì
範文	fànwén
方便麵	fāngbiànmiàn
方程式	fāngchéngshì
方位	fāngwèi
方向感	fāngxiànggǎn
方興未艾	fāngxīngwèi'ài
方正	fāng·zhèng
*坊間	fāngjiān
*芳香	fāngxiāng
防不勝防	fángbùshèngfáng
防備	fángbèi
防盜	fángdào
防範	fángfàn
防腐劑	fángfŭjì
防洪	fánghóng
*防護	fánghù
防患未然	fánghuànwèirán
防火	fánghuŏ
防曬	fángshài
防曬油	fángshàiyóu
*防守	fángshŏu
防水	fángshuǐ
防衛	fángwèi
*防疫	fángyì
房產	fángchǎn
*房地產	fángdìchǎn
房舍	fángshè
仿	fǎng
仿冒	fǎngmào
仿傚	fǎngxiào
仿照	fǎngzhào
仿製	fǎngzhì
紡	fǎng
*紡織品	fǎngzhīpǐn
*訪客	fǎngkè
訪問團	fǎngwèntuán
放榜	fàngbǎng
*放緩	fànghuǎn
放火	fànghuŏ
放假	fàngjià
放寬	fàngkuān
放款	fàngkuǎn
放牧	fàngmù
放任	fàngrèn
放肆	fàngsì
放生	fàngshēng
放手	fàngshŏu
放眼	fàngyǎn
放映	fàngyìng
*放置	fàngzhì
*放逐	fàngzhú
放縱	fàngzòng
非凡	fēifán
菲傭	fēiyōng
緋聞	fēiwén
蜚聲	fēishēng
飛車	fēichē
飛鳥	fēiniǎo
飛禽走獸	fēiqínzŏushòu
飛人	fēirén
飛天	fēitiān
飛舞	fēiwŭ
飛檐走壁	fēiyánzŏubì
飛揚	fēiyáng
飛越	fēiyuè
*肥胖	féipàng
肥肉	féiròu
匪夷所思	fĕiyísuŏsī
斐然	fĕirán
*翡翠	fĕicuì
沸	fèi
沸水	fèishuǐ
*肺炎	fèiyán
費解	fèijiĕ
費勁	fèijìn
費神	fèishén
費時	fèishí
痱子	fèi·zi
廢料	fèiliào
*廢氣	fèiqì
廢棄	fèiqì
廢水	fèishuǐ
*廢物	fèiwù
廢紙	fèizhǐ
分貝	fēnbèi
*分擔	fēndān
*分隔	fēngé
分行	fēnháng
分毫	fēnháo
分居	fēnjū
分門別類	fēnménbiélèi
分泌物	fēnmìwù
分娩	fēnmiǎn
*分期	fēnqī
*分區	fēnqū
*分手	fēnshŏu
*分數	fēnshù
分攤	fēntān
分庭抗禮	fēntíngkànglǐ
*分享	fēnxiǎng
*分銷	fēnxiāo
分憂	fēnyōu
分賬	fēnzhàng
芬芳	fēnfāng
氛圍	fēnwéi
紛飛	fēnfēi
紛亂	fēnluàn
紛紜	fēnyún
紛爭	fēnzhēng
紛至沓來	fēnzhìtàlái
焚	fén
焚燒	fénshāo
墳	fén
墳場	fénchǎng
墳墓	fénmù
粉筆	fěnbǐ
粉飾	fěnshì
粉筆末兒	fěnbǐmòr
粉紅	fĕnhóng
粉絲	fĕnsī
粉飾	fĕnshì
憤	fèn
憤懣	fènmèn
奮不顧身	fènbùgùshēn
奮發	fènfā
奮力	fènlì
*糞便	fènbiàn
風波	fēngbō
*風采	fēngcǎi
風潮	fēngcháo
風車	fēngchē
風塵	fēngchén
風馳電掣	fēngchídiànchè
風帆	fēngfān
風範	fēngfàn
風和日麗	fēnghérìlì
風花雪月	fēnghuāxuĕyuè
風化	fēnghuà
風流	fēngliú
*風貌	fēngmào
風靡	fēngmǐ
*風情	fēngqíng
風騷	fēngsāo
風扇	fēngshàn
風聲	fēngshēng
風濕病	fēngshībìng
風勢	fēngshì
風霜	fēngshuāng
*風水	fēng·shuǐ
風調雨順	fēngtiáoyŭshùn
風頭	fēng·tou
風土	fēngtŭ
風雪	fēngxuĕ
*風味	fēngwèi
風向	fēngxiàng
風行	fēngxíng
風衣	fēngyī
風韻	fēngyùn
風姿	fēngzī
楓	fēng
楓樹	fēngshù
楓葉	fēngyè
瘋	fēng
封存	fēngcún
封面	fēngmiàn
封套	fēngtào
封條	fēngtiáo
峰迴路轉	fēnghuílùzhuǎn
烽火	fēnghuŏ
蜂擁而至	fēngyōng'érzhì
鋒芒	fēngmáng
鋒芒畢露	fēngmángbìlù
風頭	fēng·tou
*豐厚	fēnghòu
豐潤	fēngrùn
豐盛	fēngshèng
豐碩	fēngshuò
豐衣足食	fēngyīzúshí
豐腴	fēngyú
逢	féng
諷	fĕng
諷喻	fĕngyù
奉公守法	fènggōngshŏufǎ
奉命	fèngmìng
奉陪	fèngpéi
*奉行	fèngxíng
鳳	fèng
*鳳梨	fènglí
佛經	fójīng
佛寺	fósì
佛陀	Fótuó
*佛像	fóxiàng
佛學	fóxué
佛珠	fózhū
佛祖	fózŭ
敷	fū
敷設	fūshè
孵	fū
膚淺	fūqiǎn
膚色	fūsè
伏案	fú'àn
伏筆	fúbǐ
伏線	fúxiàn
扶持	fúchí
扶貧	fúpín
扶弱	fúruò
*扶手	fúshŏu
扶手電梯	fúshŏudiàntī
扶植	fúzhí
扶助	fúzhù
芙蓉	fúróng
服侍	fú·shi
服食	fúshí
*服飾	fúshì
*服務費	fúwùfèi
服刑	fúxíng
*服用	fúyòng
拂	fú
俘	fú
浮沉	fúchén
浮華	fúhuá
浮現	fúxiàn
符	fú
福蔭	fúyìn
福祉	fúzhǐ
輻	fú
輻照	fúzhào
俯	fŭ
俯瞰	fŭkàn
俯身	fŭshēn
俯拾皆是	fŭshíjiēshì
俯視	fŭshì
腐乳	fŭrŭ
輔	fŭ
輔幣	fŭbì
輔導	fŭdǎo
輔導員	fŭdǎoyuán
輔佐	fŭzuŏ
撫	fŭ
撫平	fŭpíng
撫慰	fŭwèi
父	fù
父老	fùlǎo
父母親	fùmŭqīn
父親節	fù·qīnjié
父子	fùzǐ
付費	fùfèi
*付款	fùkuǎn
付運	fùyùn
*附表	fùbiǎo
附加值	fùjiāzhí
*附件	fùjiàn
*附錄	fùlù
附設	fùshè
*附屬	fùshŭ
附註	fùzhù
*負荷	fùhè
負累	fùlĕi
負離子	fùlízǐ
*負面	fùmiàn
負數	fùshù
負載	fùzài
*負責人	fùzérén
*負債	fùzhài
*副本	fùbĕn
副刊	fùkān
副食	fùshí
副題	fùtí
富貴	fùguì
*富豪	fùháo
富麗	fùlì
富麗堂皇	fùlìtánghuáng
富饒	fùráo
富商	fùshāng
婦女節	Fùnǚjié
復仇	fùchóu
復出	fùchū
復發	fùfā
復古	fùgŭ
復甦	fùsū
*復原	fùyuán
腹部	fùbù
腹瀉	fùxiè
複製品	fùzhìpǐn
覆	fù
覆蓋面	fùgàimiàn
*覆核	fùhé
覆水難收	fùshuǐnánshōu
賦閒	fùxián
縛	fù
夾肢窩	gā·zhiwō
*咖喱	gālí
該死	gāisǐ
*改道	gǎidào
*改動	gǎidòng
改觀	gǎiguān
改過自新	gǎiguòzìxīn
改嫁	gǎijià
*改建	gǎijiàn
改期	gǎiqī
改天	gǎitiān
改寫	gǎixiĕ
*改用	gǎiyòng
*鈣質	gàizhì
蓋世	gàishì
蓋印	gàiyìn
概	gài
概覽	gàilǎn
概略	gàilüè
概述	gàishù
干犯	gānfàn
*肝炎	gānyán
甘	gān
甘草	gāncǎo
甘露	gānlù
甘甜	gāntián
甘油	gānyóu
甘願	gānyuàn
甘蔗	gān·zhe
柑	gān
柑橘	gānjú
竿	gān
乾爹	gāndiē
乾涸	gānhé
乾貨	gānhuò
乾果	gānguŏ
乾媽	gānmā
乾爽	gānshuǎng
尷尬	gāngà
感恩	gǎn'ēn
感觸	gǎnchù
感懷	gǎnhuái
感冒	gǎnmào
感染力	gǎnrǎnlì
*感人	gǎnrén
感傷	gǎnshāng
感嘆	gǎntàn
感悟	gǎnwù
感召	gǎnzhào
趕不上	gǎn·bushàng
趕得上	gǎn·deshàng
趕工	gǎngōng
*橄欖	gǎnlǎn
*橄欖油	gǎnlǎnyóu
橄欖樹	gǎnlǎnshù
幹練	gànliàn
幹事	gàn·shi
*幹線	gànxiàn
缸	gāng
*剛好	gānghǎo
剛勁	gāngjìng
剛巧	gāngqiǎo
鋼筋	gāngjīn
鋼琴家	gāngqínjiā
崗	gǎng
*港府	Gǎngfŭ
港人	Gǎngrén
*港商	Gǎngshāng
*港式	Gǎngshì
高昂	gāo'áng
高傲	gāo'ào
*高層	gāocéng
高處	gāochù
高低	gāodī
高調	gāodiào
*高爾夫球	gāo'ĕrfūqiú
*高峰	gāofēng
高官	gāoguān
*高價	gāojià
高架橋	gāojiàqiáo
高見	gāojiàn
高踞	gāojù
*高科技	gāokējì
高齡	gāolíng
高人	gāorén
高聳	gāosŏng
高聳入雲	gāosŏngrùyún
高談闊論	gāotánkuòlùn
*高位	gāowèi
高效	gāoxiào
高薪	gāoxīn
高雅	gāoyǎ
高瞻遠矚	gāozhānyuǎnzhŭ
高招	gāozhāo
糕	gāo
*糕點	gāodiǎn
告吹	gàochuī
告發	gàofā
告示	gào·shi
告示牌	gào·shipái
*告知	gàozhī
告終	gàozhōng
戈壁	gēbì
割裂	gēliè
割讓	gēràng
歌唱家	gēchàngjiā
*歌詞	gēcí
*歌劇院	gējùyuàn
歌迷	gēmí
*歌手	gēshŏu
歌壇	gētán
歌謠	gēyáo
擱淺	gēqiǎn
擱置	gēzhì
革	gé
革職	gézhí
格調	gédiào
格格不入	gégébùrù
格律	gélǜ
*格式	géshì
格言	géyán
隔膜	gémó
隔世	géshì
隔靴搔癢	géxuēsāoyǎng
隔夜	géyè
隔音	géyīn
閣	gé
閣樓	gélóu
閣下	géxià
*葛	Gĕ
各個	gè·ge
各就各位	gèjiùgèwèi
各有所長	gèyŏusuŏcháng
*個案	gè'àn
*個人化	gèrénhuà
根部	gēnbù
根底	gēndǐ
根基	gēnjī
根莖	gēnjīng
根治	gēnzhì
跟從	gēncóng
*跟進	gēnjìn
*跟著	gēn·zhe
*更換	gēnghuàn
更年期	gēngniánqī
*更生	gēngshēng
更替	gēngtì
更衣	gēngyī
更易	gēngyì
耕耘	gēngyún
羹	gēng
哽咽	gĕngyè
梗	gĕng
梗概	gĕnggài
梗兒	gěngr
耿	gĕng
耿耿於懷	gĕnggĕngyúhuái
工匠	gōngjiàng
工時	gōngshí
工作日	gōngzuòrì
*工作者	gōngzuòzhĕ
公廁	gōngcè
公法	gōngfǎ
公幹	gōnggàn
*公會	gōnghuì
*公積金	gōngjījīn
公爵	gōngjué
公開賽	gōngkāisài
公開信	gōngkāixìn
*公立	gōnglì
公僕	gōngpú
公升	gōngshēng
公式化	gōngshìhuà
公事	gōngshì
公事包	gōngshìbāo
公私	gōngsī
*公務員	gōngwùyuán
*公屋	gōngwū
公務	gōngwù
公演	gōngyǎn
公益	gōngyì
公益金	gōngyìjīn
*公營	gōngyíng
公映	gōngyìng
公寓	gōngyù
*公約	gōngyuē
公證	gōngzhèng
*公證人	gōngzhèngrén
公證書	gōngzhèngshū
*公職	gōngzhí
*公眾	gōngzhòng
弓箭	gōngjiàn
躬	gōng
功不可沒	gōngbùkĕmò
功勞	gōng·láo
功力	gōnglì
功利	gōnglì
*功效	gōngxiào
功用	gōngyòng
攻打	gōngdǎ
攻略	gōnglüè
攻勢	gōngshì
攻陷	gōngxiàn
供不應求	gōngbùyìngqiú
供養	gōngyǎng
恭賀	gōnghè
恭候	gōnghòu
*恭喜	gōngxǐ
拱形	gŏngxíng
*共識	gòngshí
共通點	gòngtōngdiǎn
供詞	gòngcí
*供奉	gòngfèng
供認	gòngrèn
供養	gòngyǎng
貢	gòng
勾	gōu
勾畫	gōuhuà
勾勒	gōulè
勾住	gōuzhù
溝渠	gōuqú
枸杞	gŏuqǐ
勾當	gòu·dàng
垢	gòu
夠格	gòugé
構建	gòujiàn
構築	gòuzhù
構築物	gòuzhùwù
購價	gòujià
*購物	gòuwù
*購置	gòuzhì
估	gū
*估價	gūjià
估量	gū·liáng
估算	gūsuàn
咕嚕	gūlū
